project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","VDI/VDE INNOVATION + TECHNIK GMBH",,999731568,Germany,DE,company,no,309250
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots",INSIDE,,940177448,Netherlands,NL,other,no,136875
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","IOT Tribe Ltd",,880465024,,,company,no,43750
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","IDC NORDIC A/S",,893422672,Denmark,DK,company,no,73125
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","IDC CEMA SRO",,923491993,Czechia,CZ,company,no,130000
101189683,CEI-Sphere,"Cloud-Edge-IoT Spheres of Large-Scale Pilots","COMMPLA SRL",,951678738,Italy,IT,company,no,70750
101249230,CERT.LV-SOC-LV,"Strengthening CERT.LV capabilities as National Security Operations Centre","LATVIJAS UNIVERSITATES MATEMATIKAS UN INFORMATIKAS INSTITUTS",,999645723,Latvia,LV,research_institution,yes,1171650
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","FUNDACION TECNALIA RESEARCH & INNOVATION",,999604110,Spain,ES,research_institution,yes,629337.5
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","HITACHI RAIL GTS AUSTRIA GMBH",,999750192,Austria,AT,company,no,293127.63
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","TTTECH COMPUTERTECHNIK AG",,999791029,Austria,AT,company,no,402453.63
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","DNV AS",,999929060,,,company,no,297937.5
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","SIMULA RESEARCH LABORATORY AS",,995915976,,,research_institution,no,704374
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","ELEKTROTECHNICKY ZKUSEBNI USTAV, SP",,919372888,Czechia,CZ,company,no,285687.5
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit",MINDCHIP,,884492755,Estonia,EE,company,no,117075
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","GIOUMPITEK MELETI SCHEDIASMOS YLOPOIISI KAI POLISI ERGON PLIROFORIKIS ETAIREIA PERIORISMENIS EFTHYNIS",,985034419,Greece,GR,sme,no,307562.5
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","CATALINK LIMITED",,908583578,Cyprus,CY,company,no,150500
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU",,999977851,,,university,no,448125
101120606,CERTIFAI,"Agile conformance assessment for cybersecurit","SCHNEIDER ELECTRIC ESPANA SA",,951742079,Spain,ES,company,no,260225
101249554,CHIEF,"Cybersecurity Hubs Interoperability and Coope","AGENZIA PER LA CYBERSICUREZZA NAZIONALE",,886338471,Italy,IT,public_body,yes,655910
101249554,CHIEF,"Cybersecurity Hubs Interoperability and Coope","BUNDESMINISTERIUM FUR INNERES",,999826434,Austria,AT,public_body,no,251182.5
101249554,CHIEF,"Cybersecurity Hubs Interoperability and Coope","ETHNIKI ARCHI KYVERNOASFALEIAS",,877132007,Greece,GR,public_body,no,255730
101249554,CHIEF,"Cybersecurity Hubs Interoperability and Coope","LUXEMBOURG HOUSE OF CYBERSECURITY",,951805711,Luxembourg,LU,other,no,532860
101249554,CHIEF,"Cybersecurity Hubs Interoperability and Coope","THE LISBON COUNCIL FOR ECONOMIC COMPETITIVENESS ASBL",,997420543,Belgium,BE,other,no,274990
101083932,CIH,"Cybersecurity Innovation Hub","CYBERSECURITY HUB, ZU",,889292509,Czechia,CZ,research_institution,yes,526057.1
101083932,CIH,"Cybersecurity Innovation Hub","Masarykova univerzita",,999880657,Czechia,CZ,university,no,127832.9
101083932,CIH,"Cybersecurity Innovation Hub","CESKE VYSOKE UCENI TECHNICKE V PRAZE",,999848744,Czechia,CZ,university,no,179760
